"General government debt"
" % of GDP, 2008"
"Category","Government gross debt"
"Japan",158.5
"Greece",117.64
"Iceland",116.56
"Italy",112.59
"Belgium",102.34
"Portugal",84.5
"France",83.31
"Israel",79.81
"OECD",78.53
"Hungary",75.75
"Canada",74.24
"Austria",74.19
"United States",73.36
"Germany",71.42
"United Kingdom",67.18
"Netherlands",62.69
"Norway",54.46
"Poland",53.88
"Spain",47.68
"Ireland",47.29
"Sweden",46.33
"Switzerland",45.82
"Mexico",42.33
"Denmark",41.94
"Finland",40.32
"Slovak Rep.",34.89
"Czechia",32.97
"Slovenia",30.43
"New Zealand",27.67
"Korea",27.39
"Luxembourg",24.49
"Latvia",23.8
"Lithuania",17.14
"Australia",15.52
"Chile",12.52
"Estonia",8.47
"Türkiye",
"OECD average country",
