"General government debt"
" % of GDP, 2011"
"Category","Government gross debt"
"Japan",198.64
"Iceland",145.25
"Italy",117.28
"Greece",113.58
"Belgium",111.58
"Ireland",110.76
"Portugal",109.88
"United Kingdom",105.01
"France",103.58
"OECD",99.46
"United States",99.4
"Hungary",95.14
"Canada",92.57
"Austria",91.47
"Germany",86.64
"Spain",78.34
"Israel",77.8
"OECD average country",75.01
"Netherlands",73.64
"Poland",62.64
"Finland",60.9
"Denmark",60.11
"Slovenia",51.87
"Slovak Rep.",51.1
"Latvia",51.06
"Czechia",46.98
"Sweden",46.77
"Lithuania",45.7
"Türkiye",43.6
"Switzerland",43.23
"Mexico",42.66
"New Zealand",42.37
"Norway",34.51
"Korea",34.49
"Australia",28.41
"Luxembourg",26.62
"Chile",17.99
"Estonia",9.48
