"General government debt"
" % of GDP, 2012"
"Category","Government gross debt"
"Japan",207.19
"Greece",167.1
"Iceland",140.91
"Portugal",137.32
"Italy",135.45
"Ireland",129.36
"Belgium",120.91
"France",111.36
"United Kingdom",108.98
"OECD",105.29
"United States",102.98
"Austria",99.37
"Hungary",98.42
"Spain",97.15
"Canada",95.2
"Germany",89.12
"OECD average country",82.27
"Netherlands",79.36
"Israel",78.92
"Finland",68.03
"Poland",65.99
"Slovenia",62.36
"Slovak Rep.",60.71
"Denmark",60.62
"Czechia",56.23
"Lithuania",51.24
"Latvia",48.8
"Sweden",47.61
"Mexico",46.05
"New Zealand",45.6
"Switzerland",43.73
"Türkiye",40.94
"Korea",37.11
"Norway",35.65
"Australia",32.74
"Luxembourg",27.48
"Chile",18.45
"Estonia",13.11
